2:55:18.4;Johnny Hayes; United States;July 24, 1908;London, United Kingdom;M
2:52:45.4;Robert Fowler; United States;January 1, 1909;Yonkers, United States;M
2:46:52.8;James Clark; United States;February 12, 1909;New York City, United States;M
2:46:04.6;Albert Raines; United States;May 8, 1909;New York City, United States;M
2:42:31.0;Henry Barrett; United Kingdom;May 26, 1909;Polytechnic Marathon, London, United Kingdom;M
2:40:34.2;Thure Johansson; Sweden;August 31, 1909;Stockholm, Sweden;M
2:38:16.2;Harry Green; United Kingdom;May 12, 1913;Polytechnic Marathon;M
2:36:06.6;Alexis Ahlgren; Sweden;May 31, 1913;Polytechnic Marathon;M
2:38:00.8;Umberto Blasi; Italy;November 29, 1914;Legnano, Italy;M
2:32:35.8;Hannes Kolehmainen; Finland;August 22, 1920;Antwerp, Belgium;M
2:29:01.8;Albert Michelsen; United States;October 12, 1925;Port Chester, United States;M
2:30:57.6;Harry Payne; United Kingdom;July 5, 1929;London, United Kingdom;M
02:26:14;Son Kitei; Japan;March 21, 1935;Tokyo, Japan;M
2:27:49.0;Fusashige Suzuki; Japan;March 31, 1935;Tokyo, Japan;M
2:26:44.0;Yasuo Ikenaka; Japan;April 3, 1935;Tokyo, Japan;M
02:26:42;Son Kitei; Japan;November 3, 1935;Tokyo, Japan;M
02:25:39;Suh Yun-bok; Korea;April 19, 1947;Boston Marathon;M
2:20:42.2;Jim Peters; United Kingdom;June 14, 1952;Polytechnic Marathon;M
2:18:40.4;Jim Peters; United Kingdom;June 13, 1953;Polytechnic Marathon;M
2:18:34.8;Jim Peters; United Kingdom;October 4, 1953;Turku Marathon;M
2:17:39.4;Jim Peters; United Kingdom;June 26, 1954;Polytechnic Marathon;M
2:18:04.8;Paavo Kotila; Finland;August 12, 1956;Pieks?m?ki, Finland;M
2:15:17.0;Sergei Popov; Soviet Union;August 24, 1958;Stockholm, Sweden;M
2:15:16.2;Abebe Bikila; Ethiopia;September 10, 1960;Rome, Italy;M
2:15:15.8;Toru Terasawa; Japan;February 17, 1963;Beppu-_ita Marathon;M
02:14:28;Leonard Edelen; United States;June 15, 1963;Polytechnic Marathon;M
02:14:43;Brian Kilby; United Kingdom;July 6, 1963;Port Talbot, Wales;M
02:13:55;Basil Heatley; United Kingdom;June 13, 1964;Polytechnic Marathon;M
2:12:12.2;Abebe Bikila; Ethiopia;October 21, 1964;Tokyo, Japan;M
02:12:00;Morio Shigematsu; Japan;June 12, 1965;Polytechnic Marathon;M
2:09:36.4;Derek Clayton; Australia;December 3, 1967;Fukuoka Marathon;M
2:08:33.6;Derek Clayton; Australia;May 30, 1969;Antwerp, Belgium;M
2:09:28.8;Ron Hill; United Kingdom;July 23, 1970;Edinburgh, Scotland;M
02:09:12;Ian Thompson; United Kingdom;January 31, 1974;Christchurch, New Zealand;M
2:09:05.6;Shigeru So; Japan;February 5, 1978;Beppu-_ita Marathon;M
02:09:01;Gerard Nijboer; Netherlands;April 26, 1980;Amsterdam Marathon;M
02:08:18;Robert De Castella; Australia;December 6, 1981;Fukuoka Marathon;M
02:08:05;Steve Jones; United Kingdom;October 21, 1984;Chicago Marathon;M
02:07:12;Carlos Lopes; Portugal;April 20, 1985;Rotterdam Marathon;M
02:06:50;Belayneh Dinsamo; Ethiopia;April 17, 1988;Rotterdam Marathon;M
02:06:05;Ronaldo da Costa; Brazil;September 20, 1998;Berlin Marathon;M
02:05:42;Khalid Khannouchi; Morocco;October 24, 1999;Chicago Marathon;M
02:05:38;Khalid Khannouchi; United States;April 14, 2002;London, United Kingdom;M
02:04:55;Paul Tergat; Kenya;September 28, 2003;Berlin Marathon;M
02:04:26;Haile Gebrselassie; Ethiopia;September 30, 2007;Berlin Marathon;M
02:03:59;Haile Gebrselassie; Ethiopia;September 28, 2008;Berlin Marathon;M
02:03:38;Patrick Makau; Kenya;September 25, 2011;Berlin Marathon;M
02:03:23;Wilson Kipsang; Kenya;September 29, 2013;Berlin Marathon;M
02:02:57;Dennis Kimetto; Kenya;September 28, 2014;Berlin Marathon;M
5:40:xx;Marie-Louise Ledru; France;September 29, 1918;Tour de Paris Marathon;Z
03:40:22;Violet Piercy; United Kingdom;October 3, 1926;London ;Z
03:37:07;Merry Lepper; United States;December 16, 1963;Culver City, United States;Z
03:27:45;Dale Greig; United Kingdom;May 23, 1964;Ryde;Z
03:19:33;Mildred Sampson; New Zealand;July 21, 1964;Auckland, New Zealand;Z
03:15:23;Maureen Wilton; Canada;May 6, 1967;Toronto, Canada;Z
